"Id","insee_code","is_student","OCCUPATION_42","ACTIVITY_TYPE","AGE_2019","household","Highest_degree","sex","target"
1,"01001",TRUE,"csp_6_8","TYPE1|1",20,"TYPMR1-1","edu.1.4","Male","B"
2,"01004",FALSE,"csp_6_5","TYPE1|1",48,"TYPMR4-1","edu.1.3","Male","B"
3,"01004",FALSE,"csp_8_1","TYPE1|2",37,"TYPMR4-4","edu.1.8","Female","G"
4,"01004",FALSE,"csp_4_7","TYPE1|2",65,"TYPMR3-1","edu.1.6","Male","B"
5,"01004",TRUE,"csp_8_4","TYPE2|2",22,"TYPMR1-2","edu.1.4","Female","B"
6,"01004",FALSE,"csp_8_5","TYPE2|5",49,"TYPMR1-2","edu.1.2","Female","G"
8,"01004",FALSE,"csp_5_5","TYPE1|1",39,"TYPMR4-1","edu.1.3","Female","G"
13,"01004",FALSE,"csp_5_2","TYPE1|1",38,"TYPMR4-1","edu.1.7","Male","G"
16,"01004",FALSE,"csp_7_5","TYPE2|1",67,"TYPMR4-4","edu.1.3","Female","B"
18,"01004",FALSE,"csp_8_5","TYPE2|4",34,"TYPMR4-4","edu.1.4","Female","B"
25,"01008",FALSE,"csp_6_3","TYPE1|2",20,"TYPMR4-3","edu.1.2","Male","B"
27,"01010",FALSE,"csp_8_1","TYPE1|2",25,"TYPMR4-3","edu.1.3","Male","B"
30,"01012",FALSE,"csp_4_3","TYPE1|1",46,"TYPMR4-1","edu.1.7","Female","B"
31,"01012",FALSE,"csp_7_5","TYPE2|1",66,"TYPMR4-4","edu.1.6","Male","B"
32,"01013",TRUE,"csp_8_4","TYPE2|2",22,"TYPMR1-1","edu.1.6","Male","B"
39,"01016",FALSE,"csp_7_8","TYPE2|1",90,"TYPMR1-2","edu.1.4","Female","G"
41,"01017",FALSE,"csp_7_5","TYPE2|1",68,"TYPMR1-1","edu.1.6","Male","B"
42,"01021",FALSE,"csp_6_7","TYPE1|2",28,"TYPMR3-2","edu.1.4","Male","G"
44,"01021",FALSE,"csp_8_6","TYPE2|5",76,"TYPMR3-2","edu.1","Female","G"
48,"01024",FALSE,"csp_7_7","TYPE2|1",76,"TYPMR1-2","edu.1.2","Female","G"
53,"01025",FALSE,"csp_4_3","TYPE1|1",45,"TYPMR4-3","edu.1.4","Female","B"
54,"01025",FALSE,"csp_3_7","TYPE1|1",54,"TYPMR4-1","edu.1.6","Male","G"
55,"01025",FALSE,"csp_5_6","TYPE1|1",62,"TYPMR4-3","edu.1.3","Female","G"
57,"01025",FALSE,"csp_7_7","TYPE2|1",68,"TYPMR4-4","edu.1.2","Male","B"
58,"01025",FALSE,"csp_7_2","TYPE2|1",82,"TYPMR1-2","edu.1.4","Female","G"
62,"01027",FALSE,"csp_4_8","TYPE1|1",40,"TYPMR4-1","edu.1.5","Male","B"
64,"01027",TRUE,"csp_8_4","TYPE2|2",16,"TYPMR4-1","edu.3","Female","B"
67,"01031",FALSE,"csp_5_5","TYPE1|1",55,"TYPMR4-1","edu.1.4","Female","B"
69,"01031",FALSE,"csp_7_7","TYPE2|1",78,"TYPMR4-4","edu.1.2","Female","B"
70,"01031",FALSE,"csp_4_2","TYPE1|1",61,"TYPMR1-2","edu.1.6","Female","B"
71,"01031",FALSE,"csp_7_4","TYPE2|1",70,"TYPMR1-2","edu.1.4","Female","G"
72,"01031",FALSE,"csp_5_5","TYPE1|1",47,"TYPMR4-1","edu.1.6","Male","G"
73,"01032",FALSE,"csp_5_4","TYPE1|1",36,"TYPMR3-2","edu.1.5","Female","B"
79,"01033",FALSE,"csp_4_4","TYPE1|1",44,"TYPMR4-4","edu.1.4","Female","B"
