"Id","Emp_contract"
1,"COND.1.1"
2,"COND.1.6"
8,"COND.1.5"
13,"COND.1.6"
30,"COND.1.6"
53,"COND.2.1"
54,"COND.1.6"
55,"COND.1.6"
62,"COND.1.6"
67,"COND.1.6"
70,"COND.1.5"
72,"COND.1.6"
73,"COND.1.6"
79,"COND.1.3"
87,"COND.1.6"
93,"COND.1.6"
95,"COND.1.6"
100,"COND.1.6"
101,"COND.1.6"
104,"COND.1.2"
105,"COND.1.6"
107,"COND.1.6"
109,"COND.1.6"
113,"COND.1.6"
120,"COND.1.6"
122,"COND.1.6"
125,"COND.1.3"
127,"COND.1.6"
132,"COND.1.5"
135,"COND.1.6"
137,"COND.1.6"
138,"COND.1.6"
140,"COND.2.1"
144,"COND.1.6"
145,"COND.1.6"
153,"COND.1.6"
157,"COND.1.6"
165,"COND.2.2"
169,"COND.1.6"
173,"COND.1.6"
176,"COND.1.2"
179,"COND.1.5"
180,"COND.1.6"
182,"COND.1.6"
185,"COND.2.1"
189,"COND.1.6"
194,"COND.1.6"
202,"COND.1.6"
210,"COND.1.6"
212,"COND.2.1"
217,"COND.2.2"
221,"COND.1.6"
224,"COND.1.6"
234,"COND.1.6"
235,"COND.1.6"
236,"COND.1.6"
237,"COND.1.6"
238,"COND.1.6"
239,"COND.2.2"
243,"COND.1.6"
247,"COND.1.6"
251,"COND.2.2"
254,"COND.2.1"
259,"COND.2.2"
264,"COND.1.6"
273,"COND.1.6"
274,"COND.1.6"
279,"COND.2.2"
285,"COND.1.6"
290,"COND.1.6"
295,"COND.2.1"
298,"COND.1.6"
302,"COND.1.6"
317,"COND.1.6"
319,"COND.1.6"
322,"COND.1.6"
331,"COND.1.6"
336,"COND.1.6"
338,"COND.1.6"
339,"COND.1.6"
341,"COND.1.6"
348,"COND.1.6"
353,"COND.1.6"
354,"COND.1.6"
355,"COND.1.6"
357,"COND.1.6"
360,"COND.1.6"
363,"COND.1.6"
369,"COND.2.1"
378,"COND.1.5"
379,"COND.1.6"
387,"COND.1.6"
391,"COND.1.6"
392,"COND.2.1"
404,"COND.1.6"
405,"COND.1.6"
406,"COND.1.6"
414,"COND.1.5"
420,"COND.2.1"
425,"COND.1.6"
429,"COND.1.6"
430,"COND.1.6"
437,"COND.2.2"
455,"COND.1.6"
462,"COND.1.6"
469,"COND.1.6"
479,"COND.1.6"
480,"COND.1.6"
488,"COND.1.6"
489,"COND.1.6"
490,"COND.1.6"
