"Id","employer_category","job_category","EMPLOYEE_COUNT","Terms_of_emp","Eco_sect","work_description","Job_dep","Working_hours","WORK_CONDITION","EMOLUMENT"
1,"ct_9","A","tr_3","APP","FZ","681a","01",1818,"C",12928
2,"ct_9","O","tr_5","CDI","HZ","652a","01",1408,"C",15428
30,"ct_9","O","tr_4","CDI","QB","431d","01",1905,"C",27779
54,"ct_9","O","tr_1","CDI","CM","374d","01",1634,"C",30205
55,"ct_7","O","tr_0","CDI","QB","563a","01",1141,"N",3571
62,"ct_9","O","tr_2","CDI","GZ","486d","69",1875,"C",23070
67,"ct_9","O","tr_2","CDI","GZ","551a","01",1136,"C",11103
70,"ct_2","O","tr_1","AUT","PZ","421b","01",1820,"C",35358
72,"ct_9","O","tr_3","CDI","CG","556a","01",1550,"C",34185
73,"ct_8","O","tr_5","CDI","QA","542a","01",1770,"C",26488
87,"ct_9","O","tr_5","CDI","HZ","466c","01",1820,"C",51684
95,"ct_9","O","tr_1","CDI","GZ","554a","75",288,"C",2462
100,"ct_9","O","tr_1","CDI","NZ","373d","67",2627,"C",57265
101,"ct_9","O","tr_6","CDI","CK","623e","01",1820,"C",24294
104,"ct_1","O","tr_6","CDD","PZ","422e","01",1101,"P",11832
105,"ct_7","O","tr_1","CDI","QB","563a","01",3000,"N",23800
107,"ct_9","O","tr_5","CDI","MA","385b","34",611,"C",28807
109,"ct_9","O","tr_1","CDI","CJ","371a","01",1829,"C",35281
113,"ct_9","O","tr_2","CDI","AZ","471b","01",1955,"C",23326
120,"ct_9","O","tr_4","CDI","NZ","684a","01",1929,"C",21349
122,"ct_9","O","tr_1","CDI","FZ","632j","01",1719,"C",20476
127,"ct_9","O","tr_4","CDI","CC","371a","01",1820,"C",50858
132,"ct_1","O","tr_5","TOA","OZ","333a","01",607,"C",4608
135,"ct_9","O","tr_6","CDI","JC","388a","69",1820,"C",33831
137,"ct_8","O","tr_4","CDI","QA","431f","69",1264,"P",22328
138,"ct_1","O","tr_5","CDI","OZ","451e","69",1804,"C",26906
144,"ct_9","O","tr_3","CDI","FZ","461d","01",1820,"C",27411
145,"ct_9","O","tr_3","CDI","HZ","654b","01",1589,"C",30947
153,"ct_9","O","tr_3","CDI","HZ","641a","01",1820,"C",27985
157,"ct_9","O","tr_1","CDI","GZ","462a","01",1754,"C",19282
169,"ct_8","O","tr_1","CDI","RZ","424a","69",1315,"C",16060
173,"ct_9","O","tr_1","CDI","CJ","383b","38",1824,"C",34391
176,"ct_9","O","tr_1","TTP","NZ","676a","01",875,"N",8224
179,"ct_1","O","tr_3","AUT","OZ","435b","01",1456,"P",29237
180,"ct_9","O","tr_3","CDI","FZ","621c","69",1482,"C",34017
182,"ct_8","O","tr_3","CDI","PZ","341a","07",2401,"C",38734
189,"ct_8","O","tr_5","CDI","MB","374d","69",1747,"C",87869
194,"ct_9","O","tr_3","CDI","NZ","684a","01",1547,"C",13810
202,"ct_9","O","tr_5","CDI","HZ","676c","01",1775,"C",20422
221,"ct_9","O","tr_1","CDI","NZ","542a","69",541,"P",4798
224,"ct_9","O","tr_1","CDI","CJ","672a","01",1767,"C",15222
234,"ct_5","O","tr_5","CDI","HZ","642b","01",501,"P",6162
235,"ct_9","O","tr_1","CDI","SZ","562b","01",1183,"C",8910
236,"ct_9","O","tr_5","CDI","HZ","641a","74",2017,"C",19551
237,"ct_9","O","tr_1","CDI","QA","526e","01",446,"C",5674
238,"ct_9","O","tr_0","CDI","GZ","433d","01",1755,"C",39717
243,"ct_9","O","tr_4","CDI","MA","542b","69",1974,"C",19283
247,"ct_8","O","tr_3","CDI","PZ","341a","69",1820,"C",33325
264,"ct_9","O","tr_2","CDI","CC","676a","01",2200,"C",26720
273,"ct_9","O","tr_3","CDI","CM","676c","01",1685,"C",22397
