"Id","Club"
2,"fede.109"
3,"fede.102"
6,"fede.102"
8,"fede.102"
13,"fede.117"
16,"fede.105"
18,"fede.102"
42,"fede.111"
57,"fede.211"
79,"fede.121"
83,"fede.121"
85,"fede.107"
87,"fede.102"
88,"fede.105"
89,"fede.604"
93,"fede.121"
95,"fede.123"
101,"fede.124"
116,"fede.267"
132,"fede.102"
135,"fede.107"
136,"fede.109"
137,"fede.102"
138,"fede.107"
139,"fede.109"
140,"fede.121"
142,"fede.107"
143,"fede.107"
144,"fede.102"
145,"fede.102"
148,"fede.101"
150,"fede.109"
153,"fede.114"
157,"fede.108"
160,"fede.102"
161,"fede.121"
165,"fede.107"
166,"fede.101"
167,"fede.114"
169,"fede.107"
172,"fede.102"
173,"fede.102"
174,"fede.101"
176,"fede.107"
179,"fede.102"
180,"fede.102"
181,"fede.114"
182,"fede.102"
184,"fede.107"
185,"fede.102"
188,"fede.121"
190,"fede.109"
217,"fede.123"
224,"fede.109"
235,"fede.129"
278,"fede.245"
298,"fede.403"
314,"fede.102"
319,"fede.105"
322,"fede.105"
338,"fede.125"
339,"fede.125"
353,"fede.101"
360,"fede.101"
369,"fede.101"
378,"fede.105"
379,"fede.101"
387,"fede.102"
388,"fede.101"
393,"fede.109"
409,"fede.604"
425,"fede.605"
429,"fede.127"
447,"fede.111"
480,"fede.402"
496,"fede.126"
497,"fede.109"
505,"fede.111"
509,"fede.132"
510,"fede.501"
515,"fede.114"
526,"fede.218"
528,"fede.105"
529,"fede.105"
530,"fede.402"
538,"fede.604"
562,"fede.123"
596,"fede.109"
600,"fede.110"
601,"fede.124"
602,"fede.102"
607,"fede.124"
608,"fede.105"
611,"fede.105"
612,"fede.124"
616,"fede.106"
618,"fede.102"
619,"fede.108"
620,"fede.102"
622,"fede.106"
624,"fede.604"
628,"fede.102"
635,"fede.123"
653,"fede.221"
664,"fede.101"
670,"fede.123"
679,"fede.111"
680,"fede.123"
684,"fede.107"
685,"fede.121"
692,"fede.105"
704,"fede.123"
707,"fede.129"
733,"fede.135"
741,"fede.219"
742,"fede.219"
743,"fede.415"
747,"fede.404"
769,"fede.245"
782,"fede.102"
784,"fede.102"
786,"fede.102"
792,"fede.402"
796,"fede.121"
812,"fede.401"
823,"fede.111"
839,"fede.108"
863,"fede.132"
881,"fede.113"
905,"fede.604"
909,"fede.604"
915,"fede.605"
932,"fede.115"
935,"fede.413"
938,"fede.410"
958,"fede.125"
972,"fede.111"
986,"fede.105"
987,"fede.605"
1005,"fede.124"
1023,"fede.111"
1076,"fede.420"
1084,"fede.245"
1107,"fede.111"
1114,"fede.105"
1116,"fede.109"
1118,"fede.102"
1119,"fede.102"
1120,"fede.106"
1121,"fede.111"
1122,"fede.106"
1129,"fede.106"
1131,"fede.109"
1132,"fede.106"
1133,"fede.102"
1134,"fede.107"
1138,"fede.102"
1139,"fede.102"
1143,"fede.102"
1144,"fede.109"
1145,"fede.210"
1164,"fede.105"
1166,"fede.105"
1170,"fede.402"
1202,"fede.117"
1261,"fede.604"
1264,"fede.123"
1281,"fede.115"
1306,"fede.402"
1316,"fede.604"
1326,"fede.403"
1344,"fede.102"
1345,"fede.102"
1348,"fede.105"
1349,"fede.106"
1350,"fede.134"
1353,"fede.114"
1354,"fede.105"
1358,"fede.108"
1362,"fede.106"
1364,"fede.105"
1369,"fede.114"
1372,"fede.106"
1374,"fede.101"
1378,"fede.101"
1379,"fede.114"
1380,"fede.106"
1381,"fede.114"
1383,"fede.106"
1397,"fede.101"
1414,"fede.126"
1463,"fede.111"
1492,"fede.111"
1493,"fede.134"
1502,"fede.111"
1520,"fede.123"
1537,"fede.126"
1559,"fede.108"
1563,"fede.119"
1564,"fede.119"
1565,"fede.108"
1568,"fede.209"
1571,"fede.103"
1574,"fede.119"
1575,"fede.108"
1580,"fede.110"
1582,"fede.113"
1586,"fede.108"
1588,"fede.113"
1591,"fede.119"
1594,"fede.118"
1597,"fede.119"
1598,"fede.110"
1600,"fede.102"
1602,"fede.209"
1604,"fede.102"
1609,"fede.110"
1610,"fede.110"
1611,"fede.212"
1614,"fede.113"
1615,"fede.110"
1616,"fede.107"
1618,"fede.110"
1619,"fede.110"
1622,"fede.212"
1624,"fede.107"
1626,"fede.107"
1629,"fede.132"
1645,"fede.103"
1648,"fede.105"
1649,"fede.105"
1651,"fede.102"
1652,"fede.113"
1653,"fede.113"
1655,"fede.105"
1657,"fede.105"
1661,"fede.103"
1662,"fede.103"
1663,"fede.113"
1664,"fede.102"
1667,"fede.103"
1668,"fede.101"
1672,"fede.107"
1676,"fede.113"
1677,"fede.103"
1679,"fede.103"
1680,"fede.103"
1683,"fede.103"
1686,"fede.103"
1687,"fede.103"
1692,"fede.106"
1693,"fede.103"
1698,"fede.106"
1699,"fede.106"
1706,"fede.106"
1708,"fede.103"
1711,"fede.134"
1714,"fede.106"
1715,"fede.107"
1730,"fede.402"
1733,"fede.403"
1760,"fede.604"
1784,"fede.125"
1797,"fede.132"
1811,"fede.245"
1826,"fede.132"
1834,"fede.127"
1855,"fede.132"
1858,"fede.133"
1864,"fede.133"
1878,"fede.402"
1883,"fede.133"
1884,"fede.111"
1894,"fede.410"
1905,"fede.111"
1912,"fede.404"
1916,"fede.101"
1921,"fede.105"
1922,"fede.102"
1925,"fede.107"
1926,"fede.123"
1928,"fede.102"
1934,"fede.105"
1951,"fede.133"
1952,"fede.115"
1953,"fede.106"
1960,"fede.413"
1978,"fede.119"
1987,"fede.109"
1988,"fede.133"
2008,"fede.123"
2016,"fede.109"
2029,"fede.134"
2039,"fede.109"
2041,"fede.109"
2043,"fede.110"
2046,"fede.109"
2047,"fede.111"
2051,"fede.103"
2052,"fede.109"
2053,"fede.107"
2055,"fede.109"
2056,"fede.115"
2060,"fede.103"
2061,"fede.107"
2062,"fede.107"
2063,"fede.121"
2064,"fede.107"
2066,"fede.115"
2068,"fede.102"
2069,"fede.110"
2070,"fede.103"
2074,"fede.115"
2075,"fede.110"
2076,"fede.121"
2078,"fede.110"
2084,"fede.109"
2085,"fede.103"
2086,"fede.105"
2089,"fede.108"
2094,"fede.105"
2096,"fede.123"
2100,"fede.108"
2101,"fede.108"
2108,"fede.107"
2111,"fede.108"
2112,"fede.103"
2113,"fede.107"
2115,"fede.403"
2130,"fede.233"
2135,"fede.402"
2152,"fede.124"
2159,"fede.109"
2160,"fede.105"
2167,"fede.403"
2175,"fede.127"
2177,"fede.404"
2188,"fede.124"
2189,"fede.123"
2193,"fede.245"
2196,"fede.404"
2226,"fede.111"
2228,"fede.115"
2229,"fede.404"
2231,"fede.111"
2235,"fede.125"
2239,"fede.117"
2241,"fede.102"
2243,"fede.109"
2244,"fede.103"
